Order_ID,Order_Date,Shipping_Date,Aging,Ship_Mode,Product_Category,Product, Sales ,Quantity,Discount, Profit , Shipping_Cost ,Order_Priority,Customer_ID,Customer_Name,Segment,City,State,Country,Region
AU-2015-264,1/24/2023,1/26/2023,2,First Class,Auto & Accessories,Car Body Covers, $117.0 ,3,0.04, $23.0 , $2.3 ,High,RE-00264,Park Macintyre,Consumer,Gorakhpur,Haryana,India,Central Asia
AU-2015-278,1/31/2023,2/3/2023,3,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.05, $11.2 , $1.1 ,Critical,ON-00278,Ross Braxton,Consumer,Dieppe,Upper Normandy,France,Central
AU-2015-300,1/22/2023,1/23/2023,1,First Class,Auto & Accessories,Car Body Covers, $117.0 ,1,0.03, $33.5 , $3.3 ,Critical,AN-00300,Atkinson Ryan,Corporate,Shanghai,Shanghai,China,North Asia
AU-2015-348,1/4/2023,1/10/2023,6,First Class,Auto & Accessories,Bike Tyres, $72.0 ,2,0.03, $36.0 , $3.6 ,High,WN-00348,Foster Brown,Corporate,Melbourne,Victoria,Australia,Oceania
AU-2015-357,1/31/2023,2/3/2023,3,First Class,Auto & Accessories,Bike Tyres, $72.0 ,2,0.02, $36.0 , $3.6 ,Critical,DO-00357,Brown Airdo,Corporate,Cranston,Rhode Island,United States,East
AU-2015-362,1/14/2023,1/21/2023,7,First Class,Auto & Accessories,Car Speakers, $211.0 ,1,0.02, $126.8 , $12.7 ,High,RE-00362,Knox Sayre,Consumer,Philadelphia,Pennsylvania,United States,East
AU-2015-363,1/2/2023,1/6/2023,4,First Class,Auto & Accessories,Car Body Covers, $117.0 ,5,0.05, $7.8 , $0.8 ,High,AB-00363,Mcintyre Yedwab,Home Office,Talcahuano,Biobio,Chile,South
AU-2015-364,1/31/2023,2/10/2023,10,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.03, $23.8 , $2.4 ,Critical,TE-00364,Reese Huthwaite,Consumer,Nairobi,Nairobi,Kenya,Africa
AU-2015-367,1/13/2023,1/22/2023,9,First Class,Auto & Accessories,Car Mat, $54.0 ,3,0.04, $18.0 , $1.8 ,Medium,ES-00367,Blackwell Rawles,Home Office,Dhaka,Dhaka,Bangladesh,Central Asia
AU-2015-379,1/3/2023,1/4/2023,1,First Class,Auto & Accessories,Car Media Players, $140.0 ,3,0.04, $43.2 , $4.3 ,High,ER-00379,Estrada Kiefer,Consumer,Depok,Yogyakarta,Indonesia,Southeast Asia
AU-2015-383,1/19/2023,1/22/2023,3,First Class,Auto & Accessories,Tyre, $250.0 ,2,0.02, $160.0 , $16.0 ,Critical,ER-00383,Turner Becker,Consumer,Can Tho,T?nh C?n Th?,Vietnam,Southeast Asia
AU-2015-393,1/29/2023,2/7/2023,9,First Class,Auto & Accessories,Bike Tyres, $72.0 ,1,0.04, $72.0 , $7.2 ,High,RI-00393,Weiss Shariari,Consumer,Villa Alemana,Valparaíso,Chile,South
AU-2015-394,1/29/2023,2/3/2023,5,First Class,Auto & Accessories,Car Mat, $54.0 ,1,0.02, $54.0 , $5.4 ,High,LL-00394,Booker Russell,Consumer,Sydney,New South Wales,Australia,Oceania
AU-2015-397,1/10/2023,1/11/2023,1,First Class,Auto & Accessories,Car Media Players, $140.0 ,5,0.05, $25.0 , $2.5 ,Critical,EN-00397,Carroll Dahlen,Consumer,Carora,Lara,Venezuela,South
AU-2015-403,1/17/2023,1/23/2023,6,First Class,Auto & Accessories,Car Mat, $54.0 ,4,0.01, $13.5 , $1.4 ,Critical,CK-00403,Morton Mackendrick,Corporate,Quetzaltenango,Quezaltenango,Guatemala,Central
AU-2015-423,1/5/2023,1/6/2023,1,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,4,0.05, $104.8 , $10.5 ,Critical,RY-00423,Randall Murry,Corporate,Rockford,Illinois,United States,Central
AU-2015-435,1/10/2023,1/15/2023,5,First Class,Auto & Accessories,Car Body Covers, $117.0 ,4,0.04, $18.3 , $1.8 ,High,ON-00435,Livingston Thornton,Consumer,Guyancourt,Ile-de-France,France,Central
AU-2015-447,1/26/2023,2/5/2023,10,First Class,Auto & Accessories,Bike Tyres, $72.0 ,1,0.02, $72.0 , $7.2 ,Critical,PO-00447,Graham Cacioppo,Home Office,Yangon,Yangon,Myanmar (Burma),Southeast Asia
AU-2015-455,1/10/2023,1/18/2023,8,First Class,Auto & Accessories,Tyre, $250.0 ,5,0.01, $157.5 , $15.8 ,High,NO-00455,Kim Eno,Corporate,Spokane,Washington,United States,West
AU-2015-478,1/26/2023,1/30/2023,4,First Class,Auto & Accessories,Car Media Players, $140.0 ,1,0.04, $54.4 , $5.4 ,Medium,LL-00478,Oneal Norvell,Consumer,El Paso,Texas,United States,Central
AU-2015-483,1/3/2023,1/6/2023,3,First Class,Auto & Accessories,Bike Tyres, $72.0 ,1,0.05, $72.0 , $7.2 ,High,LE-00483,Booth Pistole,Consumer,Philadelphia,Pennsylvania,United States,East
AU-2015-511,1/16/2023,1/18/2023,2,First Class,Auto & Accessories,Car Mat, $54.0 ,4,0.05, $13.5 , $1.4 ,Critical,DT-00511,Glass Schmidt,Home Office,Tlalpan,Distrito Federal,Mexico,North
AU-2015-512,1/24/2023,1/26/2023,2,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.04, $15.8 , $1.6 ,Critical,ND-00512,Crawford Chand,Consumer,Mahajanga,Boeny,Madagascar,Africa
AU-2015-517,1/16/2023,1/17/2023,1,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.01, $32.1 , $3.2 ,Critical,OD-00517,Farmer Hood,Consumer,Libourne,Aquitaine,France,Central
AU-2015-525,1/30/2023,1/31/2023,1,First Class,Auto & Accessories,Car Body Covers, $117.0 ,5,0.05, $7.8 , $0.8 ,Medium,RS-00525,Mercado Stivers,Consumer,Marseille,Provence-Alpes-Côte d'Azur,France,Central
AU-2015-564,1/7/2023,1/8/2023,1,First Class,Auto & Accessories,Bike Tyres, $72.0 ,3,0.05, $24.0 , $2.4 ,High,AS-00564,Poole Lucas,Corporate,Suzhou,Jiangsu,China,North Asia
AU-2015-594,1/21/2023,1/26/2023,5,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.04, $104.8 , $10.5 ,High,EZ-00594,Beck Gonzalez,Corporate,Ciudad del Carmen,Campeche,Mexico,North
AU-2015-596,1/9/2023,1/13/2023,4,First Class,Auto & Accessories,Car Speakers, $211.0 ,5,0.03, $99.4 , $9.9 ,Critical,NG-00596,Mccall Smayling,Consumer,Los Angeles,California,United States,West
AU-2015-606,1/9/2023,1/19/2023,10,First Class,Auto & Accessories,Car Body Covers, $117.0 ,1,0.03, $33.5 , $3.3 ,Medium,LL-00606,Richardson Blackwell,Consumer,Hermosillo,Sonora,Mexico,North
AU-2015-609,1/6/2023,1/15/2023,9,First Class,Auto & Accessories,Bike Tyres, $72.0 ,2,0.03, $36.0 , $3.6 ,Critical,ON-00609,Jensen Foulston,Home Office,Jixi,Heilongjiang,China,North Asia
AU-2015-629,1/2/2023,1/3/2023,1,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.03, $16.9 , $1.7 ,Critical,LT-00629,Mcgee Holt,Consumer,Birmingham,England,United Kingdom,North
AU-2015-638,1/17/2023,1/20/2023,3,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.02, $24.9 , $2.5 ,Medium,AN-00638,Smith Abelman,Consumer,Melbourne,Victoria,Australia,Oceania
AU-2015-651,1/6/2023,1/13/2023,7,First Class,Auto & Accessories,Car Body Covers, $117.0 ,5,0.01, $31.2 , $3.1 ,Critical,ER-00651,Fleming Foster,Consumer,Bekasi,Jawa Barat,Indonesia,Southeast Asia
AU-2015-659,1/20/2023,1/30/2023,10,First Class,Auto & Accessories,Car Speakers, $211.0 ,3,0.03, $112.0 , $11.2 ,High,TT-00659,Hess Prescott,Home Office,Harrisonburg,Virginia,United States,South
AU-2015-662,1/25/2023,1/31/2023,6,First Class,Auto & Accessories,Tyre, $250.0 ,4,0.04, $130.0 , $13.0 ,High,ND-00662,Dawson Granlund,Consumer,Chennai,Tamil Nadu,India,Central Asia
AU-2015-663,1/10/2023,1/12/2023,2,First Class,Auto & Accessories,Bike Tyres, $72.0 ,2,0.02, $36.0 , $3.6 ,Medium,IN-00663,Terrell Zeldin,Consumer,Bundaberg,Queensland,Australia,Oceania
AU-2015-667,1/3/2023,1/5/2023,2,First Class,Auto & Accessories,Car Media Players, $140.0 ,1,0.02, $57.2 , $5.7 ,Critical,GE-00667,Grimes Paige,Consumer,Chennai,Tamil Nadu,India,Central Asia
AU-2015-680,1/16/2023,1/19/2023,3,First Class,Auto & Accessories,Tyre, $250.0 ,2,0.05, $145.0 , $14.5 ,Critical,ES-00680,Dunn Cortes,Home Office,Draguignan,Provence-Alpes-Côte d'Azur,France,Central
AU-2015-690,1/10/2023,1/16/2023,6,First Class,Auto & Accessories,Bike Tyres, $72.0 ,3,0.05, $24.0 , $2.4 ,High,RN-00690,Hansen Eichhorn,Consumer,Santa Clara,Villa Clara,Cuba,Caribbean
AU-2015-694,1/8/2023,1/15/2023,7,First Class,Auto & Accessories,Car Media Players, $140.0 ,2,0.03, $51.6 , $5.2 ,Medium,IN-00694,Page Häberlin,Home Office,Jeddah,Makkah,Saudi Arabia,EMEA
AU-2015-706,1/12/2023,1/20/2023,8,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.02, $28.6 , $2.9 ,Critical,LL-00706,Mcclain O'Donnell,Corporate,Matagalpa,Matagalpa,Nicaragua,Central
AU-2015-728,1/22/2023,1/23/2023,1,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.05, $11.2 , $1.1 ,Medium,NE-00728,Cobb Kane,Consumer,Portsmouth,England,United Kingdom,North
AU-2015-757,1/18/2023,1/21/2023,3,First Class,Auto & Accessories,Car Media Players, $140.0 ,2,0.01, $57.2 , $5.7 ,Medium,LD-00757,White Armold,Consumer,Baotou,Inner Mongolia,China,North Asia
AU-2015-761,1/14/2023,1/22/2023,8,First Class,Auto & Accessories,Tyre, $250.0 ,5,0.02, $145.0 , $14.5 ,Medium,ER-00761,Calhoun Poirier,Consumer,Oakland,California,United States,West
AU-2015-781,1/26/2023,2/3/2023,8,First Class,Auto & Accessories,Car Mat, $54.0 ,5,0.04, $10.8 , $1.1 ,Critical,NT-00781,Heath O'Briant,Home Office,Rajshahi,Rajshahi,Bangladesh,Central Asia
AU-2015-827,1/10/2023,1/20/2023,10,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.01, $32.9 , $3.3 ,High,SE-00827,Acosta Morse,Corporate,Tianjin,Tianjin,China,North Asia
AU-2015-859,1/16/2023,1/22/2023,6,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.01, $36.8 , $3.7 ,High,AS-00859,Wise Koutras,Corporate,Liverpool,England,United Kingdom,North
AU-2015-868,1/28/2023,2/1/2023,4,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.05, $14.4 , $1.4 ,High,NE-00868,Lyons Hane,Corporate,Depok,Jawa Barat,Indonesia,Southeast Asia
AU-2015-870,1/22/2023,1/27/2023,5,First Class,Auto & Accessories,Bike Tyres, $72.0 ,4,0.03, $18.0 , $1.8 ,Critical,RD-00870,Benton Ward,Corporate,Lugo,Galicia,Spain,South
AU-2015-873,1/13/2023,1/22/2023,9,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,2,0.02, $141.8 , $14.2 ,High,TO-00873,Velez Takahito,Consumer,Les Ulis,Ile-de-France,France,Central
AU-2015-889,1/27/2023,2/4/2023,8,First Class,Auto & Accessories,Car Mat, $54.0 ,1,0.01, $54.0 , $5.4 ,Medium,EN-00889,Miller Allen,Consumer,Avion,Nord-Pas-de-Calais,France,Central
AU-2015-907,1/24/2023,1/27/2023,3,First Class,Auto & Accessories,Car Mat, $54.0 ,2,0.05, $27.0 , $2.7 ,Medium,OY-00907,Norman Joy,Home Office,Amsterdam,North Holland,Netherlands,Central
AU-2015-912,1/7/2023,1/16/2023,9,First Class,Auto & Accessories,Car Body Covers, $117.0 ,1,0.01, $35.8 , $3.6 ,Medium,NG-00912,Garcia Armstrong,Consumer,Maputo,Cidade De Maputo,Mozambique,Africa
AU-2015-924,1/3/2023,1/5/2023,2,First Class,Auto & Accessories,Bike Tyres, $72.0 ,1,0.04, $72.0 , $7.2 ,Critical,ER-00924,Pruitt Reiter,Consumer,Jerusalem,Jerusalem,Israel,EMEA
AU-2015-931,1/17/2023,1/27/2023,10,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.05, $14.4 , $1.4 ,Medium,OX-00931,Hudson Cox,Home Office,Huehuetenango,Huehuetenango,Guatemala,Central
AU-2015-932,1/10/2023,1/16/2023,6,First Class,Auto & Accessories,Tyre, $250.0 ,1,0.01, $167.5 , $16.8 ,High,LL-00932,Booker Russell,Consumer,Ponferrada,Castile and León,Spain,South
AU-2015-939,1/30/2023,2/5/2023,6,First Class,Auto & Accessories,Car Body Covers, $117.0 ,3,0.05, $19.5 , $1.9 ,High,AN-00939,Jenkins Brennan,Corporate,Smyrna,Tennessee,United States,South
AU-2015-949,1/14/2023,1/18/2023,4,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.05, $26.2 , $2.6 ,Medium,TO-00949,Rush Takahito,Consumer,Stoke-on-Trent,England,United Kingdom,North
AU-2015-951,1/14/2023,1/18/2023,4,First Class,Auto & Accessories,Bike Tyres, $72.0 ,1,0.01, $72.0 , $7.2 ,Critical,LY-00951,Preston Savely,Consumer,Temecula,California,United States,West
AU-2015-971,1/12/2023,1/17/2023,5,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.03, $20.3 , $2.0 ,High,ES-00971,Conner Jones,Corporate,Chongqing,Chongqing,China,North Asia
AU-2015-974,1/22/2023,1/27/2023,5,First Class,Auto & Accessories,Car Speakers, $211.0 ,4,0.03, $105.7 , $10.6 ,High,EN-00974,Duncan Dahlen,Home Office,Depok,Yogyakarta,Indonesia,Southeast Asia
AU-2015-985,1/4/2023,1/8/2023,4,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.01, $35.6 , $3.6 ,High,NG-00985,Caldwell Galang,Corporate,Tempe,Arizona,United States,West
AU-2015-992,1/24/2023,1/26/2023,2,First Class,Auto & Accessories,Car Speakers, $211.0 ,2,0.03, $118.3 , $11.8 ,Medium,ON-00992,Rowe Jackson,Corporate,Worcester,England,United Kingdom,North
AU-2015-1038,1/23/2023,2/2/2023,10,First Class,Auto & Accessories,Car Body Covers, $117.0 ,4,0.04, $18.3 , $1.8 ,Critical,EN-001038,Wolfe Hansen,Consumer,San Francisco,California,United States,West
AU-2015-1051,1/20/2023,1/28/2023,8,First Class,Auto & Accessories,Car Mat, $54.0 ,1,0.05, $54.0 , $5.4 ,Critical,EN-001051,Carroll Dahlen,Consumer,Xi'an,Shaanxi,China,North Asia
AU-2015-1076,1/24/2023,1/26/2023,2,First Class,Auto & Accessories,Tyre, $250.0 ,3,0.02, $155.0 , $15.5 ,High,IS-001076,Gilmore Norris,Home Office,Los Angeles,California,United States,West
AU-2015-1079,1/18/2023,1/21/2023,3,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.02, $24.9 , $2.5 ,High,IO-001079,Conway Seio,Home Office,San Andrés Tuxtla,Veracruz,Mexico,North
AU-2015-1093,1/27/2023,2/6/2023,10,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.01, $36.8 , $3.7 ,Critical,LE-001093,Tucker Caudle,Consumer,New York City,New York,United States,East
AU-2015-1100,1/28/2023,1/31/2023,3,First Class,Auto & Accessories,Car Speakers, $211.0 ,5,0.01, $120.5 , $12.0 ,Medium,NS-001100,Armstrong Dawkins,Home Office,Mixco,Guatemala,Guatemala,Central
AU-2015-1110,1/9/2023,1/16/2023,7,First Class,Auto & Accessories,Car Body Covers, $117.0 ,5,0.05, $7.8 , $0.8 ,High,LL-001110,Leblanc Spruell,Consumer,Melbourne,Victoria,Australia,Oceania
AU-2015-1111,1/12/2023,1/22/2023,10,First Class,Auto & Accessories,Car & Bike Care, $118.0 ,4,0.03, $23.8 , $2.4 ,High,IN-001111,Barker Haberlin,Corporate,Manukau City,Auckland,New Zealand,Oceania
AU-2015-1116,1/28/2023,2/5/2023,8,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,4,0.04, $114.0 , $11.4 ,Critical,ON-001116,Barnes Braxton,Corporate,London,England,United Kingdom,North
AU-2015-1119,1/7/2023,1/14/2023,7,First Class,Auto & Accessories,Car Body Covers, $117.0 ,4,0.03, $23.0 , $2.3 ,Critical,ER-001119,Russo Webber,Consumer,Kaiserslautern,Rhineland-Palatinate,Germany,Central
AU-2015-1136,1/22/2023,1/29/2023,7,First Class,Auto & Accessories,Car Speakers, $211.0 ,2,0.04, $114.1 , $11.4 ,Critical,CH-001136,Moses Rittenbach,Consumer,Chaozhou,Guangdong,China,North Asia
AU-2015-1137,1/15/2023,1/21/2023,6,First Class,Auto & Accessories,Car Body Covers, $117.0 ,1,0.05, $31.2 , $3.1 ,Critical,AR-001137,Patel Poddar,Consumer,Guelma,Guelma,Algeria,Africa
AU-2015-1139,1/22/2023,1/28/2023,6,First Class,Auto & Accessories,Tyre, $250.0 ,4,0.01, $160.0 , $16.0 ,High,GS-001139,Herman Triggs,Consumer,Koidu,Eastern,Sierra Leone,Africa
AU-2015-1151,1/9/2023,1/10/2023,1,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.04, $11.2 , $1.1 ,High,EN-001151,Hodge Moren,Consumer,Burnley,England,United Kingdom,North
AU-2015-1157,1/28/2023,2/6/2023,9,First Class,Auto & Accessories,Tyre, $250.0 ,2,0.04, $150.0 , $15.0 ,Medium,RN-001157,Reed Bern,Corporate,Rambouillet,Ile-de-France,France,Central
AU-2015-1166,1/29/2023,2/2/2023,4,First Class,Auto & Accessories,Tyre, $250.0 ,5,0.02, $145.0 , $14.5 ,High,DI-001166,Dean Etezadi,Consumer,Madrid,Madrid,Spain,South
AU-2015-1177,1/15/2023,1/17/2023,2,First Class,Auto & Accessories,Car Mat, $54.0 ,3,0.03, $18.0 , $1.8 ,Medium,TT-001177,Hess Prescott,Home Office,David,Chiriquí,Panama,Central
AU-2015-1198,1/7/2023,1/14/2023,7,First Class,Auto & Accessories,Car Media Players, $140.0 ,5,0.04, $32.0 , $3.2 ,High,IN-001198,Miles Gilpin,Consumer,Jakarta,Jakarta,Indonesia,Southeast Asia
AU-2015-1200,1/5/2023,1/7/2023,2,First Class,Auto & Accessories,Car Body Covers, $117.0 ,2,0.05, $25.3 , $2.5 ,Medium,WD-001200,Montgomery Dowd,Consumer,Pulheim,North Rhine-Westphalia,Germany,Central
AU-2015-1202,1/29/2023,2/5/2023,7,First Class,Auto & Accessories,Tyre, $250.0 ,3,0.03, $147.5 , $14.8 ,Critical,LY-001202,Preston Savely,Consumer,London,England,United Kingdom,North
AU-2015-1208,1/24/2023,1/25/2023,1,First Class,Auto & Accessories,Car Speakers, $211.0 ,4,0.03, $105.7 , $10.6 ,High,ER-001208,Meadows Wiener,Consumer,San Francisco,California,United States,West
AU-2015-1221,1/15/2023,1/20/2023,5,First Class,Auto & Accessories,Bike Tyres, $72.0 ,2,0.04, $36.0 , $3.6 ,Medium,TT-001221,Harper Dartt,Consumer,Noisy-le-Sec,Ile-de-France,France,Central
AU-2015-1229,1/13/2023,1/16/2023,3,First Class,Auto & Accessories,Tyre, $250.0 ,3,0.02, $155.0 , $15.5 ,High,UN-001229,Bennett Braun,Consumer,Fontenay-aux-Roses,Ile-de-France,France,Central
AU-2015-1230,1/5/2023,1/8/2023,3,First Class,Auto & Accessories,Bike Tyres, $72.0 ,1,0.03, $72.0 , $7.2 ,High,CH-001230,Johnston Ducich,Consumer,Hangu,Tianjin,China,North Asia
AU-2015-1241,1/22/2023,1/24/2023,2,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.05, $5.5 , $0.6 ,Medium,RT-001241,Wilkinson Rupert,Home Office,Chicago,Illinois,United States,Central
AU-2015-1256,1/9/2023,1/11/2023,2,First Class,Auto & Accessories,Tyre, $250.0 ,2,0.01, $165.0 , $16.5 ,High,NO-001256,Garrison Perrino,Consumer,Lormont,Aquitaine,France,Central
AU-2015-1257,1/11/2023,1/16/2023,5,First Class,Auto & Accessories,Bike Tyres, $72.0 ,5,0.03, $14.4 , $1.4 ,High,SA-001257,Payne Crebassa,Corporate,Rotorua,Bay of Plenty,New Zealand,Oceania
AU-2015-1275,1/11/2023,1/17/2023,6,First Class,Auto & Accessories,Bike Tyres, $72.0 ,4,0.03, $18.0 , $1.8 ,High,SE-001275,Blankenship Reese,Consumer,Phnom Penh,Phnom Penh,Cambodia,Southeast Asia
AU-2015-1314,1/7/2023,1/16/2023,9,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,4,0.01, $141.8 , $14.2 ,High,NA-001314,Wilkerson Medina,Consumer,Salvador,Bahia,Brazil,South
AU-2015-1326,1/27/2023,2/3/2023,7,First Class,Auto & Accessories,Car Body Covers, $117.0 ,1,0.02, $34.7 , $3.5 ,High,RE-001326,Wong Macintyre,Consumer,Tlaquepaque,Jalisco,Mexico,North
AU-2015-1341,1/14/2023,1/15/2023,1,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,2,0.04, $132.5 , $13.3 ,Critical,ER-001341,Marquez Miller,Home Office,Trapani,Sicily,Italy,South
AU-2015-1357,1/26/2023,2/2/2023,7,First Class,Auto & Accessories,Car Mat, $54.0 ,1,0.01, $54.0 , $5.4 ,Critical,IG-001357,Bass Ludwig,Consumer,Woodstock,Georgia,United States,South
AU-2015-1388,1/20/2023,1/30/2023,10,First Class,Auto & Accessories,Car Speakers, $211.0 ,1,0.03, $124.7 , $12.5 ,Critical,ER-001388,Nichols Collister,Consumer,Fresno,California,United States,West
AU-2015-1421,1/12/2023,1/14/2023,2,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.02, $22.6 , $2.3 ,Critical,AN-001421,Sharp Harrigan,Consumer,San Miguelito,Panama,Panama,Central
AU-2015-1422,1/27/2023,2/2/2023,6,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,2,0.02, $141.8 , $14.2 ,Medium,IN-001422,Ball Hagelstein,Corporate,São Paulo,São Paulo,Brazil,South
AU-2015-1448,1/5/2023,1/12/2023,7,First Class,Auto & Accessories,Car Seat Covers, $114.0 ,1,0.05, $28.3 , $2.8 ,Medium,EZ-001448,Schmidt Dominguez,Consumer,Chicago,Illinois,United States,Central
AU-2015-1473,1/1/2023,1/8/2023,7,First Class,Auto & Accessories,Bike Tyres, $72.0 ,5,0.02, $14.4 , $1.4 ,Medium,NI-001473,Blanchard Vittorini,Consumer,Seoul,Seoul,South Korea,North Asia
AU-2015-1485,1/15/2023,1/20/2023,5,First Class,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,3,0.04, $123.3 , $12.3 ,Critical,TZ-001485,Maxwell Katz,Consumer,Brisbane,Queensland,Australia,Oceania
AU-2015-1532,1/24/2023,1/25/2023,1,First Class,Auto & Accessories,Car Speakers, $211.0 ,2,0.04, $114.1 , $11.4 ,Critical,TT-001532,Duran Prescott,Consumer,Dnipropetrovs'k,Dnipropetrovs'k,Ukraine,EMEA
